Mot,Nombre de fois
qubec,162
monde,91
bonne,82
temps,78
jamais,75
polqc,73
contre,68
politique,65
mdias,63
gouvernement,62
budget,61
question,59
mieux,57
parti,56
qubcois,54
permis,54
crucifix,53
daccord,50
montral,50
franais,50
chose,49
radio,49
mettre,48
maintenant,47
enfants,47
problme,46
amp,46
demande,46
haine,45
travail,45
devrait,45
raison,44
gauche,44
canada,43
donner,43
jeunes,43
religieux,41
langue,41
peuttre,40
religion,39
trudeau,38
place,37
plutt,37
crois,37
choix,36
chauffeurs,36
justice,35
dautres,35
payer,35
faudrait,35
chronique,35
respect,34
davoir,33
besoin,33
nouvelle,32
aller,32
homme,31
allez,31
martineau,31
malheureusement,31
droit,31
legault,31
mulroney,30
quun,30
pouvoir,30
lglise,30
peuple,29
simplement,29
trump,29
donne,29
mission,28
autant,28
belle,28
propos,28
musulmans,28
colline,28
ministre,27
cause,27
histoire,27
monsieur,27
taxis,27
fille,26
classe,26
opinion,26
faon,26
libert,26
jespre,26
assnat,26
comprendre,26
taxi,26
petit,25
jours,25
matin,25
pensent,25
tweet,25
libraux,25
message,24
capable,24
polcan,24
trouve,24
publique,24
tlmep,24
aujourdhui,24
fillion,24
partie,24
hommes,24
rapport,24
passer,24
lextrme,24
groupe,24
dumont,24
majorit,23
journe,23
souviens,23
manque,23
ville,23
annes,23
mauvais,23
signes,23
quelquun,23
crit,22
courage,22
exemple,22
croix,22
demain,22
petits,22
nimporte,22
change,22
tude,21
grande,21
semaine,21
contraire,21
invits,21
famille,21
porter,21
dossier,21
anglais,21
passant,21
lacit,21
lislam,21
prend,20
presque,20
moment,20
quen,20
largent,20
dieu,20
femme,20
point,20
dmocratie,20
victimes,20
pourtant,20
veulent,20
passe,20
facile,19
rpondre,19
dire,19
dbat,19
jaime,19
meilleur,19
genre,19
opinions,19
croire,19
public,19
simple,19
ltat,19
anne,19
savoir,19
signe,19
incroyable,19
secte,19
millions,19
triste,19
coutez,19
taient,18
lautre,18
drle,18
entrevue,18
lhistoire,18
discours,18
dcision,18
femmes,18
radiocanada,18
commentaire,18
voile,18
choses,18
penser,18
premire,18
socit,18
continuer,18
questions,17
exactement,17
ligne,17
journalistes,17
vieux,17
dfendre,17
comprends,17
service,17
fdral,17
libral,17
critique,17
compte,17
systme,17
super,17
geste,17
petite,17
catherine,17
livre,17
partout,17
voil,17
chance,17
lair,17
poque,17
pareil,17
commentaires,17
mmes,17
conservateurs,17
dorion,17
sujets,16
chien,16
mont,16
catholique,16
rponse,16
jeune,16
vient,16
suite,16
traiter,16
twitter,16
changer,16
donn,16
faits,16
plante,16
ralit,16
pass,16
prendre,16
pays,16
religions,16
entendu,16
maison,16
nouvelles,16
vivre,16
guerre,16
intressant,16
conscience,16
france,16
micro,16
laisse,15
dargent,15
srement,15
regard,15
normal,15
viens,15
pauvre,15
presse,15
effectivement,15
dites,15
rester,15
projet,15
important,15
rgles,15
mesures,15
ridicule,15
doute,14
confiance,14
lmission,14
difficile,14
navait,14
colon,14
bateau,14
dcouvrir,14
mdiatique,14
culture,14
racisme,14
commence,14
jugement,14
honte,14
trouver,14
connais,14
cours,14
mairesse,14
entendre,14
racistes,14
existe,14
dirait,14
services,14
devient,14
arrive,14
dbut,14
facebook,14
niveau,14
nationale,14
respecte,14
extrmistes,14
journal,14
article,14
raciste,14
radical,14
anonymes,14
commune,14
perdre,13
sant,13
rafiot,13
terre,13
ntait,13
rendu,13
commun,13
discussion,13
preuve,13
centre,13
regarder,13
sortir,13
garder,13
conseil,13
limpression,13
couter,13
demander,13
symbole,13
dailleurs,13
aider,13
tremblay,13
transport,13
lire,13
mathieu,13
ides,13
excellent,13
agents,13
podcast,13
diversit,13
quartier,12
clair,12
compris,12
autour,12
grosse,12
politicien,12
compagnie,12
malgr,12
reportage,12
partage,12
personnel,12
poste,12
diffrence,12
baisse,12
lpoque,12
devrais,12
texte,12
devenir,12
uniquement,12
hockey,12
canadiens,12
gouvernements,12
parl,12
publics,12
travailler,12
justin,12
moyenne,12
radicalisation,12
langlais,12
brian,11
science,11
coeur,11
argent,11
enfant,11
perdu,11
crdibilit,11
excellente,11
parents,11
flicitations,11
quipe,11
2019,11
demeure,11
propre,11
montrer,11
situation,11
dimanche,11
lepage,11
nombre,11
acheter,11
mrite,11
dernier,11
phrase,11
polmtl,11
voyons,11
gagn,11
sociaux,11
affaire,11
citoyens,11
porte,11
double,11
quebec,11
madame,11
police,11
rponses,11
ferait,11
terroriste,11
extrmes,11
profit,11
poser,11
priv,11
rgl,11
catholiques,11
politiques,11
respecter,11
conomique,11
population,11
laissez,11
favoriser,11
march,11
dpute,11
dsol,11
loin,11
mario,11
tirer,11
dnoncent,11
groupes,11
dangereux,11
vrai,11
ntes,10
jaurais,10
jerry,10
regardez,10
politiquement,10
correct,10
vaccins,10
estil,10
denfants,10
moyen,10
semaines,10
blanc,10
grands,10
dnoncer,10
raisons,10
symboles,10
nature,10
frais,10
dossiers,10
ensuite,10
prison,10
prends,10
clowns,10
poches,10
avis,10
peine,10
analyse,10
srieux,10
vouloir,10
bonjour,10
sige,10
prsident,10
coup,10
visage,10
ottawa,10
medias,10
grave,10
logique,10
photo,10
subventions,10
propagande,10
prsent,10
identit,10
victoire,10
maire,10
lections,10
leau,10
gnral,10
oblig,10
droits,10
franaise,10
limite,10
devraient,10
richard,10
langues,10
sophie,10
lanonymat,10
camus,10
culturelle,10
policier,10
